Paper number,Strain,Inoculum size (initial biomass),Time (d),Preculture conditions,Type of substrate,Substrate mg/L,N source,mg N/L,C/N (molar base),g substrate COD/L,Medium ,Medium supplementation,"Supp concentration, mg/L",Biomass (mg dw/L),% PHB,PHB (mg/L),PHB yield,"Composition of PHA, 3HB Mol%","Composition of PHA, 3HV Mol%",Illumination ,O2 conditions,Illumination (lux),T (°C),DOI
2,Rhodovulum sulfidophilum (E6 mutant),OD of∼0.15 form a culture grown until OD of 2.0,3,,Malate,3000,NH4Cl,680,3.71,3.3,"520-Growth Medium (520GM), which contained the following components per liter: 0.5 g of KH2PO4, 0.25 g of CaCl2·2H2O, 3.0 g of MgSO4·7H2O, 0.68 g of NH4Cl, 20 g of NaCl, 3.0 g of sodium L-malate, 3.0 g of sodium pyruvate, 0.4 g of yeast extract, 2 mg of vitamin B12, 0.25 mg of ferric citrate and micronutrients, including 70 μg of ZnCl2, 100 μg of MnCl2·4H2O, 60 μg of H3BO3, 200 μg of CoCl2·6H2O, 20 μg of CuCl2·2H2O, 20 μg of NiCl2·6H2O, and 40 μg of Na2MoO4·2H2O.",Sodium pyruvate,3000,2200,47,1034,,,,continuous,,LED 730 nm and 30 Wm-2 irradiation,30,"Foong et al., 2022"
2,Rhodovulum sulfidophilum (E6V1 mutant),OD of∼0.15 form a culture grown until OD of 2.1,3,,Malate,3000,NH4Cl,680,3.71,3.3,"520-Growth Medium (520GM), which contained the following components per liter: 0.5 g of KH2PO4, 0.25 g of CaCl2·2H2O, 3.0 g of MgSO4·7H2O, 0.68 g of NH4Cl, 20 g of NaCl, 3.0 g of sodium L-malate, 3.0 g of sodium pyruvate, 0.4 g of yeast extract, 2 mg of vitamin B12, 0.25 mg of ferric citrate and micronutrients, including 70 μg of ZnCl2, 100 μg of MnCl2·4H2O, 60 μg of H3BO3, 200 μg of CoCl2·6H2O, 20 μg of CuCl2·2H2O, 20 μg of NiCl2·6H2O, and 40 μg of Na2MoO4·2H2O.",Sodium pyruvate,3000,2200,47,1034,,,,continuous,,LED 730 nm and 30 Wm-2 irradiation,30,"Foong et al., 2022"
2,Rhodovulum sulfidophilum (E6M4 mutant),OD of∼0.15 form a culture grown until OD of 2.2,3,,Malate,3000,NH4Cl,680,3.71,3.3,"520-Growth Medium (520GM), which contained the following components per liter: 0.5 g of KH2PO4, 0.25 g of CaCl2·2H2O, 3.0 g of MgSO4·7H2O, 0.68 g of NH4Cl, 20 g of NaCl, 3.0 g of sodium L-malate, 3.0 g of sodium pyruvate, 0.4 g of yeast extract, 2 mg of vitamin B12, 0.25 mg of ferric citrate and micronutrients, including 70 μg of ZnCl2, 100 μg of MnCl2·4H2O, 60 μg of H3BO3, 200 μg of CoCl2·6H2O, 20 μg of CuCl2·2H2O, 20 μg of NiCl2·6H2O, and 40 μg of Na2MoO4·2H2O.",Sodium pyruvate,3000,2200,47,1034,,,,continuous,,LED 730 nm and 30 Wm-2 irradiation,30,"Foong et al., 2022"
2,R. sulfidophilum wt,OD of∼0.15 form a culture grown until OD of 2.3,3,520GM,Malate,3000,NH4Cl,680,3.71,3.3,"520-Growth Medium (520GM), which contained the following components per liter: 0.5 g of KH2PO4, 0.25 g of CaCl2·2H2O, 3.0 g of MgSO4·7H2O, 0.68 g of NH4Cl, 20 g of NaCl, 3.0 g of sodium L-malate, 3.0 g of sodium pyruvate, 0.4 g of yeast extract, 2 mg of vitamin B12, 0.25 mg of ferric citrate and micronutrients, including 70 μg of ZnCl2, 100 μg of MnCl2·4H2O, 60 μg of H3BO3, 200 μg of CoCl2·6H2O, 20 μg of CuCl2·2H2O, 20 μg of NiCl2·6H2O, and 40 μg of Na2MoO4·2H2O.",Sodium pyruvate,3000,,3,,,,,Dark,Aerobic,NA,30,"Foong et al., 2022"
2,R. sulfidophilum wt,OD of∼0.15 form a culture grown until OD of 2.0,3,Marine Broth,Malate,3000,NH4Cl,680,3.71,3.3,"520-Growth Medium (520GM), which contained the following components per liter: 0.5 g of KH2PO4, 0.25 g of CaCl2·2H2O, 3.0 g of MgSO4·7H2O, 0.68 g of NH4Cl, 20 g of NaCl, 3.0 g of sodium L-malate, 3.0 g of sodium pyruvate, 0.4 g of yeast extract, 2 mg of vitamin B12, 0.25 mg of ferric citrate and micronutrients, including 70 μg of ZnCl2, 100 μg of MnCl2·4H2O, 60 μg of H3BO3, 200 μg of CoCl2·6H2O, 20 μg of CuCl2·2H2O, 20 μg of NiCl2·6H2O, and 40 μg of Na2MoO4·2H2O.",Sodium pyruvate,3000,,14,,,,,continuous,Semiaerobic,LED 730 nm and 30 Wm-2 irradiation,30,"Foong et al., 2022"
2,R. sulfidophilum wt,OD of∼0.15 form a culture grown until OD of 2.0,3,520GM,Malate,3000,NH4Cl,680,3.71,3.3,"520-Growth Medium (520GM), which contained the following components per liter: 0.5 g of KH2PO4, 0.25 g of CaCl2·2H2O, 3.0 g of MgSO4·7H2O, 0.68 g of NH4Cl, 20 g of NaCl, 3.0 g of sodium L-malate, 3.0 g of sodium pyruvate, 0.4 g of yeast extract, 2 mg of vitamin B12, 0.25 mg of ferric citrate and micronutrients, including 70 μg of ZnCl2, 100 μg of MnCl2·4H2O, 60 μg of H3BO3, 200 μg of CoCl2·6H2O, 20 μg of CuCl2·2H2O, 20 μg of NiCl2·6H2O, and 40 μg of Na2MoO4·2H2O.",Sodium pyruvate,3000,,26,,,,,continuous,Semiaerobic,LED 730 nm and 30 Wm-2 irradiation,30,"Foong et al., 2022"
2,R. sulfidophilum wt,OD of∼0.15 form a culture grown until OD of 2.1,3,520GM,Malate,3000,NH4Cl,680,5.3,3.69,"520-Growth Medium (520GM), which contained the following components per liter: 0.5 g of KH2PO4, 0.25 g of CaCl2·2H2O, 3.0 g of MgSO4·7H2O, 0.68 g of NH4Cl, 20 g of NaCl, 3.0 g of sodium L-malate, 3.0 g of sodium pyruvate, 0.4 g of yeast extract, 2 mg of vitamin B12, 0.25 mg of ferric citrate and micronutrients, including 70 μg of ZnCl2, 100 μg of MnCl2·4H2O, 60 μg of H3BO3, 200 μg of CoCl2·6H2O, 20 μg of CuCl2·2H2O, 20 μg of NiCl2·6H2O, and 40 μg of Na2MoO4·2H2O.",Sodium acetate + sodium pyruvate,"(500 , 3000)",,42,,,,,continuous,Semiaerobic,LED 730 nm and 30 Wm-2 irradiation,30,"Foong et al., 2022"
3,Rhodopseudomonas palustris 42OL,1.0 g l−1,,,Acetate,2740,NH4Cl,650,3.19,2.14,"culture medium was a modified van Niel (1944). It contained 2.74 g l−1 of CH3COONa, 0.65 g l−1 NH4Cl and 0.2 g l−1 yeast extract per litre of medium solution",,,1918,4,76.72,0.7,,,Light/dark,circulation speed of the culture was kept at 0.46 m s−1,900,30,"Carlozzi et al., 2001"
4,R. palustris strains 42OL,100 mg L−1 as cell dry weight (CDW),14,malic RPN medium,Acetate,3600,NH4Cl,500,5.17,3.85,RPN media: yeast extract 0.2 g L−1; K2HPO4 0.5 g L−1; K2PO4 0.3 g L−1; MgSO4٠7H2O 0.4 g L−1; NaCl 0.4 g L−1; CaCl2٠2H2O 0.075 g L−1; ferric citrate 0.005 g L−1; NH4Cl 0.5 g L−1. Trace elements were supplied by adding 10 mL per liter of a solution containing: ZnSO4٠7H2O 10 mg L−1; MnCl2٠4H2O 3 mg L−1; H3BO3 30 mg L−1; CoCl2٠6H2O 30 mg L−1; CuCl2٠2H2O 1 mg L−1; NiCl2٠6H2O 2 mg L−1; NaMoO4٠2H2O 30 mg L−1,,,100.6,0,0,,,,continuous,anaerobic,150 µmol (photons) m−2 s−1,25,"Mugnai et al., 2025"
4,R. palustris strains AV33,100 mg L−1 as cell dry weight (CDW),14,malic RPN medium,Acetate,3600,NH4Cl,500,5.17,3.85,RPN media: yeast extract 0.2 g L−1; K2HPO4 0.5 g L−1; K2PO4 0.3 g L−1; MgSO4٠7H2O 0.4 g L−1; NaCl 0.4 g L−1; CaCl2٠2H2O 0.075 g L−1; ferric citrate 0.005 g L−1; NH4Cl 0.5 g L−1. Trace elements were supplied by adding 10 mL per liter of a solution containing: ZnSO4٠7H2O 10 mg L−1; MnCl2٠4H2O 3 mg L−1; H3BO3 30 mg L−1; CoCl2٠6H2O 30 mg L−1; CuCl2٠2H2O 1 mg L−1; NiCl2٠6H2O 2 mg L−1; NaMoO4٠2H2O 30 mg L−1,,,100.4,2.05,2.06,,,,continuous,anaerobic,150 µmol (photons) m−2 s−1,25,"Mugnai et al., 2025"
