Experiment,Biomass (mg dw/L),PHB (mg/L),% PHB,PHV (mg/L),% PHV,5-ALA (micromol/L),Q10 (mg/g dw),Carotenoids (mg/g dw),Experiment,Time (d),g substrate COD/L,Type of substrate,mg N/L,C/N (molar base),mg ethanol/L,Fraction mineral medium,g NaHCO3/L,Illumination,Levulinic acid,Fe (mg Ferric citrate/L),Operation mode,% Volume exchange
91,1167,328.35,28.14,10.79,0.94,8.17,,,,9,4.97,MCCA,154.7,14,0.8,1,1.5,0.5 h on 0.5 h off,No,10,Batch,100
92,1267,356.49,28.14,11.41,0.94,8.57,,,,9,4.97,MCCA,154.7,14,0.8,1,1.5,0.5 h on 0.5 h off,No,10,Batch,100
93,1067,363.17,34.05,11,1.04,5.24,,,,9,4.97,MCCA,154.7,14,0.8,1,1.5,12 h on 12 h off,No,10,Batch,100
94,1133,385.87,34.05,11.68,1.04,6.19,,,,9,4.97,MCCA,154.7,14,0.8,1,1.5,12 h on 12 h off,No,10,Batch,100
95,1017,347.13,34.14,5.03,0.59,8.93,4.71,2.42,6.58,10,4.97,MCCA,154.7,14,0.79,1,1.5,12 h on 12 h off,No,10,Batch,100
96,1017,347.13,34.14,4.93,0.59,7.6,5,2.56,6.45,10,4.97,MCCA,154.7,14,0.79,1,1.5,12 h on 12 h off,No,10,Batch,100
97,983,326.48,33.2,6.09,0.78,8.26,4.64,1.88,5.01,10,4.97,MCCA,154.7,14,0.79,1,1.5,0.5 h on 0.5 h off,No,10,Batch,100
98,983,326.48,33.2,6.48,0.78,8.02,4.54,1.94,4.92,10,4.97,MCCA,154.7,14,0.79,1,1.5,0.5 h on 0.5 h off,No,10,Batch,100
99,1667,403.57,24.21,5.64,0.4,3.88,13.77,5.48,18.36,8,4.97,MCCA,154.7,14,0.79,1,1.5,12 h on 12 h off,No,10,Batch,100
100,1667,403.57,24.21,5.91,0.4,4.79,14.31,6.41,17.72,8,4.97,MCCA,154.7,14,0.79,1,1.5,12 h on 12 h off,No,10,Batch,100
101,1617,374.76,23.18,7.44,0.52,3.06,13.79,4.91,16.71,8,4.97,MCCA,154.7,14,0.79,1,1.5,0.5 h on 0.5 h off,No,10,Batch,100
102,1533,355.44,23.18,8.13,0.52,3.22,13.17,4.98,16.37,8,4.97,MCCA,154.7,14,0.79,1,1.5,0.5 h on 0.5 h off,No,10,Batch,100
103,1354,608.55,44.94,15.48,1.14,10.32,1.23,2.18,,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
104,1354,608.55,44.94,15.48,1.14,9.68,1.22,2.23,,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
105,1283,528.85,41.21,13.36,1.04,7.78,1.6,2.1,,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
106,1167,480.77,41.21,12.15,1.04,8.17,1.57,2.21,,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
107,1233,496.62,40.27,12.37,0.99,4.52,2.41,1.78,6.15,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
